episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
156,-32.199999999999434,245,0.05,0,50,0.07,0.03,0.6666666666666666,245,0.004081632653061225,6.805555555555555
157,-130.80000000000018,897,0.05,0,50,0.07,0.03,0.6624203821656051,897,0.0011148272017837235,59.8
158,219.34999999999997,33,0.05,1,50,0.07,0.03,0.6645569620253164,34,0.0,4.857142857142857
159,229.04999999999998,79,0.05,1,50,0.07,0.03,0.6666666666666666,80,0.0,7.2727272727272725
160,58.00000000000256,1000,0.05,0,50,0.07,0.03,0.6625,1001,0.002997002997002997,20.428571428571427
161,393.0499999999998,79,0.05,1,50,0.07,0.03,0.6645962732919255,80,0.0125,1.1594202898550725
162,203.0,60,0.05,1,50,0.07,0.03,0.6666666666666666,61,0.0,30.5
163,200.85,283,0.05,1,50,0.07,0.03,0.6687116564417178,284,0.01056338028169014,18.933333333333334
164,289.8000000000005,204,0.05,1,50,0.07,0.03,0.6707317073170732,205,0.00975609756097561,5.125
165,307.45000000000016,71,0.05,1,50,0.07,0.03,0.6727272727272727,72,0.0,1.945945945945946
166,335.70000000000005,46,0.05,1,50,0.07,0.03,0.6746987951807228,47,0.0,1.0217391304347827
167,-18.199999999999577,165,0.05,0,50,0.07,0.03,0.6706586826347305,165,0.0,3.9285714285714284
168,218.35,53,0.05,1,50,0.07,0.03,0.6726190476190477,54,0.0,7.714285714285714
169,391.54999999999984,69,0.05,1,50,0.07,0.03,0.6745562130177515,70,0.0,1.0769230769230769
170,281.4500000000003,111,0.05,1,50,0.07,0.03,0.6764705882352942,112,0.0,3.8620689655172415
171,237.25000000000009,155,0.05,1,50,0.07,0.03,0.6783625730994152,156,0.0,10.4
172,-69.65,54,0.05,0,50,0.07,0.03,0.6744186046511628,54,0.0,2.0
173,393.14999999999975,77,0.05,1,50,0.07,0.03,0.6763005780346821,78,0.01282051282051282,1.1304347826086956
174,267.10000000000036,138,0.05,1,50,0.07,0.03,0.6781609195402298,139,0.007194244604316547,4.964285714285714
175,335.6,48,0.05,1,50,0.07,0.03,0.68,49,0.0,1.065217391304348
176,339.9000000000001,82,0.05,1,50,0.07,0.03,0.6818181818181818,83,0.0,1.7291666666666667
177,327.00000000000045,180,0.05,1,50,0.07,0.03,0.6836158192090396,181,0.011049723756906077,3.480769230769231
178,-24.399999999999906,49,0.05,0,50,0.07,0.03,0.6797752808988764,49,0.0,1.1666666666666667
179,335.6,48,0.05,1,50,0.07,0.03,0.6815642458100558,49,0.0,1.065217391304348
180,264.3500000000002,93,0.05,1,50,0.07,0.03,0.6833333333333333,94,0.0,4.086956521739131
181,238.10000000000198,718,0.05,1,50,0.07,0.03,0.6850828729281768,719,0.0013908205841446453,25.678571428571427
182,280.60000000000014,68,0.05,1,50,0.07,0.03,0.6868131868131868,69,0.0,2.4642857142857144
183,266.0500000000001,59,0.05,1,50,0.07,0.03,0.6885245901639344,60,0.0,2.608695652173913
184,-31.34999999999991,48,0.05,0,50,0.07,0.03,0.6847826086956522,48,0.020833333333333332,1.1428571428571428
185,341.4,52,0.05,1,50,0.07,0.03,0.6864864864864865,53,0.0,1.1041666666666667
186,267.35,33,0.05,1,50,0.07,0.03,0.6881720430107527,34,0.0,1.4782608695652173
187,282.3000000000002,74,0.05,1,50,0.07,0.03,0.6898395721925134,75,0.013333333333333334,2.34375
188,-36.84999999999948,198,0.05,0,50,0.07,0.03,0.6861702127659575,198,0.010101010101010102,5.6571428571428575
189,267.85,23,0.05,1,50,0.07,0.03,0.6878306878306878,24,0.0,1.0434782608695652
190,321.35000000000036,153,0.05,1,50,0.07,0.03,0.6894736842105263,154,0.0,3.5813953488372094
191,-135.64999999999992,494,0.05,0,50,0.07,0.03,0.6858638743455497,494,0.010121457489878543,32.93333333333333
192,353.29999999999995,54,0.05,1,50,0.07,0.03,0.6875,55,0.0,1.0576923076923077
193,262.8500000000003,123,0.05,1,50,0.07,0.03,0.689119170984456,124,0.0,5.391304347826087
194,264.75000000000017,85,0.05,1,50,0.07,0.03,0.6907216494845361,86,0.0,3.739130434782609
195,352.40000000000003,72,0.05,1,50,0.07,0.03,0.6923076923076923,73,0.0,1.4038461538461537
196,277.10000000000036,138,0.05,1,50,0.07,0.03,0.6938775510204082,139,0.0,4.964285714285714
197,252.80000000000172,624,0.05,1,50,0.07,0.03,0.6954314720812182,625,0.0,22.321428571428573
198,284.8500000000001,43,0.05,1,50,0.07,0.03,0.696969696969697,44,0.0,1.5172413793103448
199,-65.74999999999937,336,0.05,0,50,0.07,0.03,0.6934673366834171,336,0.0,12.0
200,230.14999999999995,57,0.05,1,50,0.07,0.03,0.695,58,0.0,5.2727272727272725
