episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
169,-105.9999999999983,1000,0.05,0,50,0.07,0.03,0.05917159763313609,1001,0.007992007992007992,19.25
170,-115.99999999999845,1000,0.05,0,50,0.07,0.03,0.058823529411764705,1001,0.005994005994005994,23.27906976744186
171,-73.99999999999764,1000,0.05,0,50,0.07,0.03,0.05847953216374269,1001,0.0,111.22222222222223
172,-872.0000000000015,1000,0.05,0,50,0.07,0.03,0.05813953488372093,1001,0.08391608391608392,37.074074074074076
173,-418.00000000000335,1000,0.05,0,50,0.07,0.03,0.057803468208092484,1001,0.028971028971028972,166.83333333333334
174,-130.65000000000012,154,0.05,0,50,0.07,0.03,0.05747126436781609,154,0.012987012987012988,11.0
175,-250.00000000001063,1000,0.05,0,50,0.07,0.03,0.05714285714285714,1001,0.01998001998001998,40.04
176,-30.000000000000444,1000,0.05,0,50,0.07,0.03,0.056818181818181816,1001,0.000999000999000999,37.074074074074076
177,-106.00000000000007,1000,0.05,0,50,0.07,0.03,0.05649717514124294,1001,0.001998001998001998,35.75
178,-238.85000000000275,358,0.05,0,50,0.07,0.03,0.056179775280898875,358,0.0446927374301676,17.047619047619047
179,-594.4500000000055,510,0.05,0,50,0.07,0.03,0.055865921787709494,510,0.10196078431372549,20.4
180,-192.00000000000807,1000,0.05,0,50,0.07,0.03,0.05555555555555555,1001,0.015984015984015984,47.666666666666664
181,-1151.9999999999736,1000,0.05,0,50,0.07,0.03,0.055248618784530384,1001,0.10589410589410589,71.5
182,198.94999999999996,201,0.05,1,50,0.07,0.03,0.06043956043956044,202,0.01485148514851485,15.538461538461538
183,-142.00000000000117,1000,0.05,0,50,0.07,0.03,0.060109289617486336,1001,0.001998001998001998,143.0
184,-162.00000000000404,1000,0.05,0,50,0.07,0.03,0.059782608695652176,1001,0.024975024975024976,15.88888888888889
185,-386.00000000001086,1000,0.05,0,50,0.07,0.03,0.05945945945945946,1001,0.04495504495504495,16.14516129032258
186,48.0000000000028,1000,0.05,0,50,0.07,0.03,0.05913978494623656,1001,0.000999000999000999,25.666666666666668
187,-188.00000000000728,1000,0.05,0,50,0.07,0.03,0.058823529411764705,1001,0.011988011988011988,66.73333333333333
188,-65.99999999999874,1000,0.05,0,50,0.07,0.03,0.05851063829787234,1001,0.000999000999000999,71.5
189,-156.69999999999993,55,0.05,0,50,0.07,0.03,0.0582010582010582,55,0.0,2.037037037037037
190,-217.20000000000087,305,0.05,0,50,0.07,0.03,0.05789473684210526,305,0.019672131147540985,4.621212121212121
191,34.000000000001165,1000,0.05,0,50,0.07,0.03,0.05759162303664921,1001,0.003996003996003996,23.833333333333332
192,-88.39999999999856,609,0.05,0,50,0.07,0.03,0.057291666666666664,609,0.0,24.36
193,232.95,121,0.05,1,50,0.07,0.03,0.06217616580310881,122,0.0,9.384615384615385
194,-103.05,2,0.05,0,50,0.07,0.03,0.061855670103092786,2,0.0,0.044444444444444446
195,-44.000000000000014,1000,0.05,0,50,0.07,0.03,0.06153846153846154,1001,0.002997002997002997,50.05
196,-165.14999999999958,204,0.05,0,50,0.07,0.03,0.061224489795918366,204,0.004901960784313725,4.636363636363637
197,-38.64999999999995,154,0.05,0,50,0.07,0.03,0.06091370558375635,154,0.0,2.6551724137931036
198,17.999999999999844,1000,0.05,0,50,0.07,0.03,0.06060606060606061,1001,0.001998001998001998,23.833333333333332
199,-91.99999999999729,1000,0.05,0,50,0.07,0.03,0.06030150753768844,1001,0.0,34.51724137931034
200,-53.99999999999896,1000,0.05,0,50,0.07,0.03,0.06,1001,0.000999000999000999,143.0
201,-212.000000000008,1000,0.05,0,50,0.07,0.03,0.05970149253731343,1001,0.008991008991008992,71.5
202,-99.99999999999876,1000,0.05,0,50,0.07,0.03,0.0594059405940594,1001,0.001998001998001998,47.666666666666664
203,-101.99999999999731,1000,0.05,0,50,0.07,0.03,0.059113300492610835,1001,0.000999000999000999,77.0
204,-14.000000000000334,1000,0.05,0,50,0.07,0.03,0.058823529411764705,1001,0.0,66.73333333333333
205,-2170.00000000004,1000,0.05,0,50,0.07,0.03,0.05853658536585366,1001,0.21478521478521478,45.5
206,-77.99999999999811,1000,0.05,0,50,0.07,0.03,0.05825242718446602,1001,0.006993006993006993,37.074074074074076
207,-123.99999999999748,1000,0.05,0,50,0.07,0.03,0.057971014492753624,1001,0.001998001998001998,34.51724137931034
208,-43.999999999999716,1000,0.05,0,50,0.07,0.03,0.057692307692307696,1001,0.0,22.244444444444444
209,-87.99999999999781,1000,0.05,0,50,0.07,0.03,0.05741626794258373,1001,0.001998001998001998,22.75
210,-75.99999999999862,1000,0.05,0,50,0.07,0.03,0.05714285714285714,1001,0.001998001998001998,111.22222222222223
211,70.0000000000028,1000,0.05,0,50,0.07,0.03,0.05687203791469194,1001,0.0,22.75
212,-71.99999999999818,1000,0.05,0,50,0.07,0.03,0.05660377358490566,1001,0.000999000999000999,125.125
213,-7.999999999999496,1000,0.05,0,50,0.07,0.03,0.056338028169014086,1001,0.0,41.708333333333336
214,-8.000000000000327,1000,0.05,0,50,0.07,0.03,0.056074766355140186,1001,0.0,41.708333333333336
215,-67.99999999999861,1000,0.05,0,50,0.07,0.03,0.05581395348837209,1001,0.002997002997002997,77.0
216,-89.99999999999848,1000,0.05,0,50,0.07,0.03,0.05555555555555555,1001,0.006993006993006993,52.68421052631579
217,-2.0000000000002727,1000,0.05,0,50,0.07,0.03,0.055299539170506916,1001,0.002997002997002997,19.25
218,-99.99999999999851,1000,0.05,0,50,0.07,0.03,0.05504587155963303,1001,0.004995004995004995,100.1
219,-97.99999999999804,1000,0.05,0,50,0.07,0.03,0.0547945205479452,1001,0.0,125.125
220,-81.99999999999903,1000,0.05,0,50,0.07,0.03,0.05454545454545454,1001,0.001998001998001998,77.0
221,242.55000000000052,409,0.05,1,50,0.07,0.03,0.058823529411764705,410,0.0,19.523809523809526
222,61.99999999999933,1000,0.05,0,50,0.07,0.03,0.05855855855855856,1001,0.004995004995004995,16.14516129032258
223,-98.25,26,0.05,0,50,0.07,0.03,0.05829596412556054,26,0.0,1.04
224,-1.9999999999990168,1000,0.05,0,50,0.07,0.03,0.05803571428571429,1001,0.0,40.04
225,-55.99999999999912,1000,0.05,0,50,0.07,0.03,0.057777777777777775,1001,0.005994005994005994,40.04
226,174.75000000000068,925,0.05,1,50,0.07,0.03,0.061946902654867256,926,0.0,132.28571428571428
227,-108.3,47,0.05,0,50,0.07,0.03,0.06167400881057269,47,0.0,1.0
228,155.85000000000113,783,0.05,1,50,0.07,0.03,0.06578947368421052,784,0.01020408163265306,31.36
229,255.45000000000024,151,0.05,1,50,0.07,0.03,0.06986899563318777,152,0.0,7.238095238095238
230,300.7500000000003,125,0.05,1,50,0.07,0.03,0.07391304347826087,126,0.007936507936507936,3.230769230769231
231,220.29999999999998,34,0.05,1,50,0.07,0.03,0.07792207792207792,35,0.05714285714285714,2.5
232,260.3500000000002,93,0.05,1,50,0.07,0.03,0.08189655172413793,94,0.010638297872340425,3.76
233,-128.00000000000003,1000,0.05,0,50,0.07,0.03,0.0815450643776824,1001,0.0,34.51724137931034
234,234.49999999999991,150,0.05,1,50,0.07,0.03,0.08547008547008547,151,0.0,10.785714285714286
235,241.6000000000001,208,0.05,1,50,0.07,0.03,0.08936170212765958,209,0.009569377990430622,8.708333333333334
236,242.7500000000002,405,0.05,1,50,0.07,0.03,0.09322033898305085,406,0.0,19.333333333333332
237,-237.09999999999755,943,0.05,0,50,0.07,0.03,0.09282700421940929,943,0.012725344644750796,21.431818181818183
238,355.799999999999,164,0.05,1,50,0.07,0.03,0.09663865546218488,165,0.006060606060606061,2.8448275862068964
239,-623.9999999999972,1000,0.05,0,50,0.07,0.03,0.09623430962343096,1001,0.060939060939060936,45.5
240,-69.14999999999915,404,0.05,0,50,0.07,0.03,0.09583333333333334,404,0.0,6.8474576271186445
241,-75.99999999999778,1000,0.05,0,50,0.07,0.03,0.0954356846473029,1001,0.007992007992007992,47.666666666666664
242,322.9500000000006,241,0.05,1,50,0.07,0.03,0.09917355371900827,242,0.0,5.377777777777778
243,316.450000000001,371,0.05,1,50,0.07,0.03,0.102880658436214,372,0.0,8.266666666666667
244,177.9500000000002,941,0.05,1,50,0.07,0.03,0.10655737704918032,942,0.0021231422505307855,62.8
245,-98.75,36,0.05,0,50,0.07,0.03,0.10612244897959183,36,0.0,1.44
246,218.2499999999999,175,0.05,1,50,0.07,0.03,0.10975609756097561,176,0.0,19.555555555555557
247,-316.75000000001035,996,0.05,0,50,0.07,0.03,0.10931174089068826,996,0.020080321285140562,17.17241379310345
248,-20.000000000000327,1000,0.05,0,50,0.07,0.03,0.10887096774193548,1001,0.0,71.5
249,-104.64999999999999,34,0.05,0,50,0.07,0.03,0.10843373493975904,34,0.0,0.6666666666666666
250,251.85000000000196,743,0.05,1,50,0.07,0.03,0.112,744,0.0013440860215053765,22.545454545454547
251,251.20000000000005,56,0.05,1,50,0.07,0.03,0.11553784860557768,57,0.0,3.1666666666666665
252,245.4000000000014,532,0.05,1,50,0.07,0.03,0.11904761904761904,533,0.0,22.208333333333332
